,Local Authority code,Local Authority name,Threatened with homelessness within 56 days-Prevention duty owed,Homeless - Relief duty owed4,Total households with support needs,Total secured accommodation,Homeless (including intentionally homeless),Size_of_social_housing_waiting_list_2021,2021 Total Lettings,A_B_property_counts,C_D_property_counts,E_F_property_counts,G_H_property_counts,median_houses_2020,median_earning_2020,ratio_by_medians_2020,lower_quatile_houses_2020,lower_quatile_earning_2020,ratio_by_lower_quatile_2020
265,E06000037,West Berkshire,62,46,60,47,10,453,196.0,9360,37370,17460,5370,340000.0,35147,9.67,270000.0,24076,11.21
266,E06000020,Telford Wrekin,85,108,82,51,8,0,159.0,48260,22230,7470,1160,178000.0,27670,6.43,132500.0,22402,5.91
267,E06000021,Stoke-on-Trent,134,205,135,80,6,1264,953.0,95090,20490,2390,220,123000.0,26976,4.56,85500.0,20849,4.1
268,E07000204,St Edmundsbury,,,,,,..,,,,,,,,,,,
269,E09000031,Waltham Forest,204,277,157,71,97,8580,126.0,36100,60560,10160,460,465000.0,37592,12.37,375000.0,27168,13.8
270,E07000156,Wellingborough,,,,,,589,189.0,21200,11020,3130,590,215000.0,25629,8.39,170000.0,19879,8.55
271,E07000004,Aylesbury Vale,,,,,,..,,,,,,,,,,,
272,E08000023,South Tyneside,130,142,133,93,7,1917,109.0,56140,13320,2530,370,133000.0,26840,4.96,92000.0,20138,4.57
273,E09000001,City of London,0,2,1,0,0,903,1.0,300,1540,4150,1540,782000.0,62700,16.55,550000.0,30614,17.51
274,E07000085,East Hampshire,49,23,30,38,5,1421,180.0,9040,24480,15660,5650,370000.0,35196,10.51,289000.0,25664,11.26
275,E07000080,Forest of Dean,58,16,48,15,14,2325,36.0,17000,14570,6480,1080,233997.5,31041,7.54,175000.0,23202,7.54
276,E07000145,Great Yarmouth,73,93,69,48,6,754,159.0,32840,12990,2550,280,185000.0,27804,6.65,140000.0,21486,6.52
277,E07000139,North Kesteven,6,56,11,15,2,2060,137.0,26970,20190,5100,480,200997.5,30602,6.57,160000.0,24228,6.6
278,E06000024,North Somerset,160,75,123,69,28,2306,234.0,35020,40420,19240,3610,266000.0,34591,7.69,195000.0,22985,8.48
279,E08000022,North Tyneside,137,105,93,41,25,2302,322.0,66220,27740,5640,400,170000.0,28938,5.87,120000.0,22465,5.34
280,E06000057,Northumberland,93,81,109,60,10,8759,283.0,95740,37830,18350,4880,164000.0,29445,5.57,111500.0,21653,5.15
281,W06000024,Merthyr Tydfil,,,,,,,,,,,,117000.0,25948,4.51,80500.0,21047,3.82
282,E07000189,South Somerset,50,75,61,15,16,1900,368.0,33720,28310,14850,2090,229725.0,29862,7.69,175000.0,22800,7.68
283,E07000031,South Lakeland,138,58,67,114,2,4539,104.0,16030,22320,12300,3120,245000.0,29435,8.32,172000.0,20199,8.52
284,E07000141,South Kesteven,50,116,123,16,14,1376,238.0,34600,20800,8820,1180,216995.0,27269,7.96,164000.0,20855,7.86
285,E07000241,Welwyn Hatfield,149,101,134,60,36,2876,247.0,6690,28230,9910,4600,382500.0,33413,11.45,305000.0,24228,12.59
286,E06000033,Southend-on-Sea,119,132,65,59,23,1123,92.0,32970,37280,10400,1720,293500.0,33091,8.87,225000.0,24065,9.35
287,E07000116,Tunbridge Wells,81,38,35,19,12,897,152.0,8810,24280,11610,5900,390000.0,42601,9.15,285000.0,24443,11.66
288,E07000175,Newark Sherwood,16,46,24,9,3,4181,146.0,32240,15200,6960,1580,180000.0,30679,5.87,130500.0,21355,6.11
289,E07000127,West Lancashire,8,24,24,5,4,941,186.0,23950,17380,7580,1740,184950.0,29833,6.2,137000.0,21364,6.41
290,E07000011,Huntingdonshire,135,74,149,81,35,2458,243.0,33040,30840,13590,2060,280000.0,31150,8.99,215000.0,24150,8.9
291,W06000010,Carmarthenshire,,,,,,,,,,,,145000.0,29054,4.99,107000.0,22772,4.7
292,E06000053,Isles of Scilly,0,0,0,0,0,..,0.0,40,350,610,150,297500.0,28400,16.96,255000.0,28400,16.96
293,E07000205,Suffolk Coastal,,,,,,..,,,,,,,,,,,
294,E06000036,Bracknell Forest,110,43,117,63,20,1347,206.0,6780,29100,13420,2760,345000.0,35445,9.73,275000.0,24644,11.16
295,E06000003,Redcar Cleveland,60,58,65,29,7,2926,491.0,40330,20130,4420,430,132500.0,26912,4.92,94995.0,20424,4.65
296,E06000004,Stockton-on-Tees,416,154,537,265,9,4653,551.0,52290,26150,8740,1530,148000.0,29495,5.02,106400.0,21755,4.89
297,E07000211,Reigate Banstead,63,41,78,51,6,884,49.0,5170,30200,18640,8510,425000.0,40229,10.56,315000.0,28646,11.0
298,W06000001,Isle of Anglesey,,,,,,,,,,,,185000.0,26887,6.88,129000.0,21018,6.14
